State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details
Gujarat,Unknown,2020,August,Friday,22:32,Serious,4,Truck,6,0,Hazy,State Highway,Dry,Dark,Signs,113,67,Male,Expired,Yes,Straight Road
Meghalaya,Dwarka,2021,May,Friday,6:05,Serious,1,Cycle,6,0,Stormy,National Highway,Damaged,Daylight,,114,24,Male,,No,Bridge
Nagaland,Varanasi,2021,March,Monday,2:30,Fatal,5,Auto-Rickshaw,6,5,Rainy,National Highway,Under Construction,Dusk,Signs,46,63,Female,,No,Straight Road
Tamil Nadu,Unknown,2021,November,Friday,19:40,Serious,4,Truck,7,4,Clear,Village Road,Under Construction,Dawn,Signals,55,22,Female,Expired,No,Intersection
Gujarat,Unknown,2022,October,Wednesday,22:16,Minor,1,Truck,3,5,Clear,State Highway,Wet,Dawn,Signals,92,64,Female,,Yes,Curve
Punjab,Tirupati,2023,May,Saturday,6:58,Fatal,2,Bus,7,2,Stormy,Urban Road,Wet,Daylight,Signs,46,45,Male,,No,Intersection
Manipur,Rohini,2021,March,Wednesday,9:09,Minor,2,Auto-Rickshaw,6,0,Clear,Village Road,Under Construction,Dusk,Police Checkpost,112,53,Male,Valid,Yes,Straight Road
Chhattisgarh,Unknown,2019,January,Saturday,21:07,Serious,2,Pedestrian,6,2,Hazy,Village Road,Damaged,Dusk,Signals,85,51,Female,,No,Bridge
Jammu and Kashmir,Unknown,2019,July,Sunday,0:28,Fatal,5,Bus,8,0,Hazy,State Highway,Damaged,Daylight,Police Checkpost,106,71,Female,,Yes,Intersection
Puducherry,Unknown,2020,October,Tuesday,2:51,Serious,5,Bus,3,3,Rainy,State Highway,Wet,Daylight,Signs,65,25,Female,Valid,No,Curve
Meghalaya,Unknown,2022,December,Friday,8:49,Minor,1,Bus,6,1,Rainy,National Highway,Dry,Daylight,Signals,42,20,Female,Expired,No,Curve
Maharashtra,Unknown,2020,June,Sunday,20:47,Serious,5,Car,6,2,Foggy,National Highway,Under Construction,Dark,Police Checkpost,119,33,Male,Valid,Yes,Straight Road
Uttarakhand,Unknown,2019,November,Friday,17:29,Serious,5,Two-Wheeler,6,1,Clear,National Highway,Dry,Daylight,,107,30,Male,,No,Bridge
Gujarat,Unknown,2023,March,Friday,8:53,Serious,4,Bus,4,0,Hazy,Village Road,Damaged,Daylight,Signs,51,42,Male,,No,Intersection
West Bengal,Unknown,2020,January,Saturday,21:07,Serious,1,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Dawn,Police Checkpost,31,39,Male,Expired,Yes,Bridge
Haryana,Unknown,2020,January,Monday,22:33,Fatal,4,Truck,7,5,Rainy,National Highway,Wet,Dawn,Police Checkpost,70,57,Male,Valid,No,Bridge
West Bengal,Unknown,2022,January,Saturday,18:24,Fatal,2,Bus,8,0,Foggy,Urban Road,Under Construction,Dawn,Signs,40,55,Male,,No,Straight Road
Andhra Pradesh,Mumbai,2018,July,Thursday,15:01,Serious,5,Bus,10,1,Rainy,National Highway,Wet,Daylight,Signals,118,34,Male,Valid,Yes,Curve
West Bengal,Unknown,2020,July,Sunday,7:15,Fatal,1,Bus,2,0,Stormy,State Highway,Under Construction,Dawn,,94,43,Female,Expired,No,Intersection
Delhi,Unknown,2019,November,Friday,6:01,Serious,4,Two-Wheeler,6,5,Rainy,State Highway,Under Construction,Daylight,,94,44,Male,,No,Bridge
Himachal Pradesh,Vadodara,2019,November,Wednesday,2:43,Fatal,2,Truck,3,4,Foggy,National Highway,Dry,Dark,Police Checkpost,34,30,Male,Expired,Yes,Intersection
Telangana,Kolkata,2020,November,Wednesday,10:00,Minor,2,Car,7,2,Rainy,Village Road,Damaged,Dark,Signals,115,43,Male,Valid,No,Intersection
Delhi,Madurai,2022,July,Wednesday,14:16,Minor,4,Two-Wheeler,7,2,Stormy,National Highway,Damaged,Dark,Signs,44,38,Female,,No,Bridge
Odisha,Unknown,2020,June,Thursday,9:20,Minor,3,Truck,3,3,Rainy,State Highway,Wet,Daylight,Police Checkpost,89,61,Male,,No,Bridge
Tamil Nadu,Coimbatore,2020,January,Wednesday,5:49,Serious,2,Pedestrian,1,2,Rainy,State Highway,Damaged,Daylight,Police Checkpost,102,36,Female,,Yes,Straight Road
Uttar Pradesh,Unknown,2020,November,Friday,2:56,Minor,1,Auto-Rickshaw,2,2,Stormy,Urban Road,Under Construction,Daylight,Police Checkpost,73,50,Female,Expired,No,Curve
Tamil Nadu,Kolkata,2020,December,Friday,4:23,Minor,5,Truck,6,5,Foggy,Village Road,Dry,Dawn,Signals,63,42,Male,,Yes,Bridge
Jammu and Kashmir,Unknown,2019,January,Tuesday,11:28,Minor,2,Two-Wheeler,0,0,Rainy,State Highway,Under Construction,Dusk,Signs,91,55,Male,,Yes,Curve
Kerala,Jodhpur,2020,June,Friday,18:24,Minor,5,Bus,3,2,Rainy,State Highway,Wet,Dawn,Signs,99,45,Male,Valid,No,Intersection
West Bengal,Ahmedabad,2019,June,Tuesday,6:27,Minor,4,Cycle,10,4,Clear,State Highway,Wet,Dark,Police Checkpost,53,53,Female,Valid,No,Straight Road
Tamil Nadu,Unknown,2023,January,Saturday,18:32,Minor,5,Car,5,1,Foggy,Village Road,Under Construction,Daylight,Signs,111,67,Female,Valid,No,Bridge
Delhi,Unknown,2021,November,Wednesday,21:52,Serious,4,Auto-Rickshaw,9,2,Rainy,Urban Road,Damaged,Dusk,Signs,91,55,Male,Expired,No,Curve
Telangana,Unknown,2022,October,Friday,22:07,Serious,4,Auto-Rickshaw,6,2,Clear,Urban Road,Dry,Daylight,Police Checkpost,99,31,Male,,Yes,Intersection
Mizoram,Dwarka,2020,October,Monday,2:14,Minor,5,Truck,7,4,Rainy,Village Road,Wet,Dark,Police Checkpost,113,26,Male,,No,Curve
Rajasthan,Unknown,2023,April,Sunday,20:00,Minor,5,Truck,3,4,Hazy,National Highway,Wet,Dark,Signs,54,51,Male,,Yes,Bridge
Tripura,Kolkata,2022,May,Monday,6:45,Serious,3,Pedestrian,0,1,Rainy,Village Road,Dry,Daylight,,107,25,Male,Expired,No,Curve
Telangana,Unknown,2019,November,Friday,10:50,Fatal,2,Truck,7,3,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,101,42,Male,,No,Curve
Jammu and Kashmir,New Delhi,2020,October,Thursday,7:02,Fatal,5,Car,0,2,Hazy,State Highway,Wet,Dusk,Police Checkpost,110,42,Male,Expired,Yes,Straight Road
Meghalaya,Unknown,2023,March,Monday,9:29,Serious,5,Bus,2,3,Hazy,State Highway,Under Construction,Dawn,Signals,76,45,Female,Expired,Yes,Straight Road
Manipur,Mumbai,2018,January,Friday,19:26,Serious,4,Bus,3,0,Foggy,National Highway,Damaged,Daylight,Signals,82,50,Female,,No,Intersection
Chandigarh,Unknown,2021,October,Thursday,9:56,Serious,4,Cycle,0,4,Stormy,Urban Road,Wet,Dusk,Signs,76,33,Female,,Yes,Straight Road
Gujarat,Dwarka,2020,January,Friday,23:34,Minor,1,Cycle,10,1,Clear,State Highway,Under Construction,Dark,,63,36,Male,Valid,No,Intersection
Assam,Unknown,2019,June,Friday,4:53,Serious,4,Truck,8,0,Rainy,National Highway,Under Construction,Dusk,Police Checkpost,98,41,Male,,No,Straight Road
West Bengal,Rohini,2023,June,Friday,17:18,Fatal,3,Cycle,1,0,Clear,National Highway,Under Construction,Dark,Police Checkpost,27,62,Female,Expired,No,Intersection
Chhattisgarh,Unknown,2023,March,Friday,15:14,Serious,2,Truck,3,0,Clear,Urban Road,Under Construction,Dawn,,105,45,Male,Expired,Yes,Curve
Chhattisgarh,Jodhpur,2023,March,Sunday,18:39,Minor,4,Auto-Rickshaw,4,1,Clear,Village Road,Under Construction,Dawn,Signs,75,52,Male,Expired,Yes,Curve
Tripura,Mysore,2022,June,Saturday,21:46,Serious,3,Pedestrian,0,3,Stormy,State Highway,Dry,Dusk,Police Checkpost,30,57,Male,,Yes,Curve
Meghalaya,Unknown,2019,November,Sunday,6:01,Serious,5,Two-Wheeler,1,0,Clear,State Highway,Wet,Dark,Signs,63,49,Male,,No,Intersection
Madhya Pradesh,Unknown,2022,November,Wednesday,20:23,Serious,1,Truck,3,2,Clear,Urban Road,Dry,Dawn,,37,55,Female,Expired,No,Curve
Madhya Pradesh,Vadodara,2020,November,Friday,5:04,Serious,3,Truck,8,4,Rainy,State Highway,Damaged,Daylight,Signals,111,31,Male,,Yes,Intersection
Uttar Pradesh,Unknown,2020,March,Friday,16:29,Minor,1,Cycle,1,3,Rainy,Urban Road,Under Construction,Daylight,,105,18,Female,Expired,Yes,Curve
Andhra Pradesh,New Delhi,2023,November,Sunday,6:37,Fatal,4,Truck,9,4,Hazy,State Highway,Wet,Dark,,119,55,Male,Expired,No,Intersection
Meghalaya,Unknown,2022,November,Sunday,22:42,Serious,2,Truck,9,0,Stormy,Urban Road,Under Construction,Dusk,Signs,92,64,Male,Expired,No,Bridge
Nagaland,Unknown,2019,November,Thursday,8:32,Minor,1,Cycle,4,1,Foggy,National Highway,Under Construction,Dark,Signals,54,67,Male,Valid,No,Curve
Uttar Pradesh,Unknown,2020,February,Sunday,11:30,Minor,5,Two-Wheeler,6,0,Stormy,State Highway,Under Construction,Dark,Signals,30,40,Female,Expired,Yes,Bridge
Meghalaya,Vadodara,2018,November,Saturday,0:44,Minor,4,Auto-Rickshaw,4,3,Clear,National Highway,Damaged,Dusk,Police Checkpost,77,44,Male,Valid,No,Intersection
Odisha,Lucknow,2019,October,Sunday,11:44,Fatal,4,Car,8,2,Stormy,Village Road,Under Construction,Dusk,Signs,114,41,Male,,No,Curve
Nagaland,Unknown,2019,October,Saturday,7:41,Serious,1,Truck,7,3,Clear,State Highway,Damaged,Dark,Signs,115,42,Male,,Yes,Intersection
West Bengal,Ahmedabad,2018,October,Tuesday,16:53,Serious,4,Bus,9,5,Foggy,Village Road,Wet,Dark,Signs,39,19,Male,Valid,Yes,Intersection
Madhya Pradesh,Pune,2020,December,Friday,0:54,Serious,5,Auto-Rickshaw,6,2,Stormy,National Highway,Dry,Daylight,,85,44,Male,,No,Intersection
Punjab,Unknown,2018,July,Sunday,5:31,Fatal,3,Cycle,6,3,Rainy,State Highway,Dry,Dawn,Signs,103,51,Female,,No,Straight Road
West Bengal,Unknown,2022,June,Friday,16:04,Fatal,3,Cycle,8,2,Rainy,National Highway,Under Construction,Dark,,39,44,Male,,Yes,Bridge
Haryana,Unknown,2021,February,Wednesday,8:28,Minor,5,Car,6,0,Stormy,National Highway,Dry,Daylight,Police Checkpost,30,41,Female,Expired,No,Bridge
Karnataka,Unknown,2020,March,Thursday,9:08,Minor,1,Cycle,1,0,Rainy,Village Road,Damaged,Dark,Police Checkpost,94,33,Male,,No,Bridge
Telangana,Vijayawada,2021,December,Friday,10:10,Fatal,2,Auto-Rickshaw,6,1,Clear,Village Road,Under Construction,Daylight,,50,37,Male,Expired,No,Bridge
Delhi,Unknown,2021,November,Thursday,0:26,Minor,5,Cycle,3,1,Clear,National Highway,Dry,Dawn,Signs,115,61,Male,Valid,No,Bridge
Uttar Pradesh,Unknown,2019,October,Thursday,5:52,Serious,3,Car,7,1,Rainy,Village Road,Under Construction,Dawn,Signs,91,35,Male,Valid,No,Straight Road
Gujarat,Siliguri,2020,February,Friday,0:13,Serious,4,Truck,4,2,Hazy,Urban Road,Under Construction,Dark,Signs,54,61,Male,,Yes,Intersection
Kerala,Ahmedabad,2018,October,Saturday,13:09,Serious,1,Two-Wheeler,7,3,Clear,Village Road,Under Construction,Dark,Police Checkpost,112,57,Female,Valid,Yes,Curve
Andhra Pradesh,Unknown,2020,November,Sunday,22:28,Serious,5,Bus,2,2,Stormy,Village Road,Dry,Daylight,Signals,35,35,Male,,Yes,Intersection
Odisha,Unknown,2018,May,Wednesday,8:07,Serious,2,Car,3,0,Stormy,State Highway,Wet,Dark,,118,53,Female,Expired,Yes,Bridge
Jammu and Kashmir,Dwarka,2019,April,Thursday,3:26,Serious,4,Cycle,3,2,Foggy,Urban Road,Under Construction,Daylight,,50,25,Male,Valid,No,Curve
Chandigarh,Nagpur,2020,April,Thursday,13:40,Serious,1,Car,1,2,Clear,State Highway,Under Construction,Dawn,Signs,117,59,Female,,No,Straight Road
Andhra Pradesh,Unknown,2021,June,Thursday,5:42,Serious,5,Pedestrian,6,1,Rainy,Urban Road,Under Construction,Daylight,,41,51,Male,Valid,Yes,Curve
Delhi,Varanasi,2021,March,Wednesday,1:05,Minor,1,Truck,1,5,Clear,Village Road,Under Construction,Dusk,Signs,115,43,Male,,Yes,Intersection
Madhya Pradesh,Unknown,2019,April,Friday,7:06,Fatal,5,Car,6,0,Clear,Village Road,Damaged,Dark,Police Checkpost,80,24,Female,Expired,No,Straight Road
Sikkim,Unknown,2018,January,Wednesday,21:45,Serious,5,Bus,7,5,Rainy,Village Road,Dry,Dusk,Signals,50,43,Male,Expired,No,Intersection
Chhattisgarh,Unknown,2018,October,Friday,8:19,Serious,1,Two-Wheeler,9,3,Rainy,Village Road,Damaged,Daylight,Police Checkpost,81,36,Female,,No,Intersection
Puducherry,Unknown,2020,February,Friday,20:27,Serious,4,Two-Wheeler,3,4,Rainy,National Highway,Under Construction,Dark,Signs,62,47,Male,Valid,Yes,Bridge
Delhi,Mumbai,2020,April,Friday,14:20,Serious,3,Car,2,2,Clear,State Highway,Damaged,Daylight,Signs,115,35,Female,,Yes,Straight Road
Gujarat,Unknown,2019,October,Saturday,19:51,Fatal,4,Truck,10,2,Hazy,State Highway,Dry,Dark,Signals,116,56,Male,,Yes,Intersection
Puducherry,Unknown,2019,July,Saturday,17:31,Minor,5,Car,6,4,Stormy,National Highway,Under Construction,Daylight,,59,44,Female,Valid,No,Intersection
Assam,Jaipur,2019,October,Sunday,8:32,Serious,1,Cycle,4,5,Clear,National Highway,Wet,Dark,Signs,92,71,Male,Valid,No,Curve
Jammu and Kashmir,Unknown,2020,October,Sunday,22:32,Serious,1,Pedestrian,4,4,Rainy,Village Road,Wet,Dark,Signs,46,31,Female,,No,Curve
Uttar Pradesh,Unknown,2022,March,Saturday,21:40,Fatal,5,Cycle,6,2,Rainy,National Highway,Under Construction,Daylight,,75,20,Male,Expired,Yes,Bridge
Maharashtra,Rohini,2021,January,Thursday,0:48,Minor,4,Cycle,7,3,Stormy,Urban Road,Wet,Daylight,Signals,117,45,Male,,No,Intersection
Madhya Pradesh,Unknown,2020,November,Saturday,18:53,Fatal,5,Auto-Rickshaw,8,2,Stormy,Urban Road,Under Construction,Dark,Police Checkpost,79,66,Female,Valid,No,Intersection
Andhra Pradesh,Udaipur,2018,February,Friday,5:15,Serious,2,Cycle,0,1,Hazy,Village Road,Under Construction,Dawn,Signs,113,59,Male,Valid,No,Straight Road
Odisha,Lucknow,2022,February,Friday,22:52,Serious,2,Truck,1,2,Rainy,Urban Road,Wet,Daylight,,41,61,Male,,Yes,Curve
Kerala,Lucknow,2020,October,Monday,8:29,Minor,1,Car,5,1,Rainy,Village Road,Under Construction,Dark,Signs,30,40,Male,Valid,No,Bridge
Maharashtra,Unknown,2023,January,Monday,3:24,Fatal,2,Truck,3,3,Stormy,Urban Road,Dry,Daylight,Signals,100,59,Male,Expired,Yes,Curve
Meghalaya,Unknown,2018,January,Friday,8:57,Fatal,5,Auto-Rickshaw,6,2,Foggy,Urban Road,Dry,Dusk,Signs,112,22,Female,Valid,Yes,Bridge
Telangana,Kanpur,2020,January,Monday,22:38,Serious,2,Cycle,4,5,Clear,State Highway,Dry,Dark,,115,51,Female,Expired,No,Intersection
Madhya Pradesh,Unknown,2023,March,Saturday,0:43,Serious,4,Cycle,8,0,Hazy,National Highway,Wet,Dark,,112,52,Male,,No,Straight Road
Jharkhand,Unknown,2023,January,Saturday,8:28,Minor,3,Two-Wheeler,6,5,Rainy,Urban Road,Dry,Dark,Police Checkpost,62,42,Male,Valid,Yes,Bridge
Madhya Pradesh,Nagpur,2019,January,Sunday,14:20,Serious,5,Truck,5,3,Rainy,Urban Road,Under Construction,Dark,,110,74,Female,Expired,Yes,Straight Road
Meghalaya,Ahmedabad,2018,October,Sunday,13:07,Serious,4,Car,2,3,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,93,70,Male,,Yes,Intersection
Uttar Pradesh,New Delhi,2020,May,Saturday,10:31,Fatal,1,Car,3,2,Hazy,Village Road,Wet,Dawn,,43,51,Male,Valid,Yes,Bridge
Gujarat,Unknown,2022,November,Monday,6:39,Serious,1,Truck,8,0,Clear,State Highway,Under Construction,Dark,Signals,86,49,Male,Valid,No,Intersection
Odisha,Unknown,2021,December,Friday,13:34,Serious,2,Bus,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,114,61,Female,,Yes,Intersection
Gujarat,Unknown,2019,January,Thursday,14:42,Minor,5,Auto-Rickshaw,10,3,Rainy,Village Road,Under Construction,Dusk,Signs,123,53,Female,Valid,Yes,Straight Road
Jharkhand,Tirupati,2018,March,Sunday,7:58,Minor,2,Cycle,5,0,Stormy,National Highway,Dry,Dusk,Signs,109,51,Female,,Yes,Intersection
West Bengal,Unknown,2020,January,Friday,19:43,Fatal,1,Car,1,2,Rainy,Village Road,Damaged,Daylight,,104,17,Female,,Yes,Intersection
Delhi,Unknown,2019,November,Saturday,23:43,Serious,2,Truck,2,2,Clear,Urban Road,Wet,Dark,,118,32,Female,Expired,No,Intersection
Mizoram,Unknown,2023,February,Sunday,0:17,Fatal,5,Truck,5,5,Hazy,Urban Road,Under Construction,Dusk,Signs,118,46,Male,Valid,Yes,Bridge
Andhra Pradesh,Unknown,2020,November,Sunday,14:16,Fatal,2,Car,2,0,Clear,National Highway,Dry,Dark,,109,52,Male,Expired,Yes,Intersection
Chandigarh,Unknown,2020,November,Friday,8:45,Serious,5,Car,1,2,Rainy,National Highway,Under Construction,Daylight,Signs,49,60,Female,,Yes,Bridge
Madhya Pradesh,Unknown,2019,January,Sunday,2:35,Serious,1,Truck,3,3,Clear,Urban Road,Dry,Daylight,,101,53,Female,Expired,No,Straight Road
Nagaland,Unknown,2020,February,Monday,3:29,Fatal,5,Truck,0,0,Clear,Village Road,Under Construction,Daylight,Signals,101,47,Male,Valid,No,Bridge
Kerala,Unknown,2021,July,Friday,8:06,Serious,4,Auto-Rickshaw,1,1,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,121,28,Female,,No,Intersection
West Bengal,Unknown,2018,March,Tuesday,22:52,Fatal,4,Car,1,0,Rainy,National Highway,Under Construction,Dawn,Police Checkpost,92,52,Male,Expired,Yes,Curve
Nagaland,Unknown,2019,March,Saturday,1:05,Minor,4,Pedestrian,1,5,Hazy,State Highway,Under Construction,Dark,Signs,46,51,Female,,Yes,Curve
Tripura,Chennai,2019,March,Tuesday,14:59,Serious,3,Cycle,5,0,Rainy,National Highway,Under Construction,Dusk,Signs,114,46,Female,Valid,No,Curve
Telangana,Unknown,2023,December,Monday,15:02,Fatal,5,Truck,6,3,Rainy,Village Road,Under Construction,Dusk,,76,44,Male,Expired,Yes,Bridge
Meghalaya,Unknown,2019,May,Monday,8:14,Minor,1,Auto-Rickshaw,3,5,Rainy,State Highway,Wet,Daylight,Police Checkpost,120,63,Male,Valid,No,Bridge
Maharashtra,Unknown,2022,October,Monday,15:02,Serious,2,Bus,11,0,Hazy,Urban Road,Damaged,Dusk,Police Checkpost,66,35,Male,,No,Curve
Madhya Pradesh,Unknown,2022,July,Thursday,18:36,Serious,2,Auto-Rickshaw,5,2,Rainy,Village Road,Under Construction,Dawn,Police Checkpost,36,72,Male,Valid,No,Straight Road
Uttarakhand,Unknown,2023,March,Wednesday,5:24,Serious,3,Truck,10,1,Foggy,Urban Road,Under Construction,Daylight,Signs,87,48,Female,Valid,No,Straight Road
Rajasthan,Unknown,2020,March,Sunday,3:50,Fatal,2,Car,0,0,Hazy,State Highway,Under Construction,Dark,Police Checkpost,98,40,Male,,Yes,Curve
Tripura,Unknown,2022,June,Sunday,23:57,Fatal,1,Car,3,2,Rainy,Urban Road,Under Construction,Dawn,,45,25,Female,Expired,Yes,Bridge
Uttar Pradesh,Unknown,2020,October,Thursday,4:57,Minor,1,Cycle,2,2,Stormy,Village Road,Wet,Dark,Police Checkpost,110,17,Male,,No,Bridge
Tamil Nadu,Unknown,2020,November,Sunday,2:20,Serious,5,Two-Wheeler,6,2,Rainy,State Highway,Under Construction,Dark,Police Checkpost,93,47,Male,,Yes,Bridge
Nagaland,Unknown,2022,May,Friday,2:03,Serious,5,Two-Wheeler,9,3,Foggy,Urban Road,Damaged,Daylight,Police Checkpost,109,52,Female,Expired,Yes,Curve
Meghalaya,Lucknow,2021,October,Friday,5:52,Fatal,3,Two-Wheeler,8,1,Hazy,Village Road,Under Construction,Dusk,Signs,103,55,Female,Valid,Yes,Straight Road
Madhya Pradesh,Ahmedabad,2019,August,Saturday,7:30,Fatal,3,Two-Wheeler,6,3,Hazy,Urban Road,Dry,Daylight,Signs,106,22,Female,,No,Straight Road
Mizoram,Mysore,2019,February,Tuesday,2:04,Fatal,5,Auto-Rickshaw,7,2,Stormy,National Highway,Damaged,Dark,Signals,96,37,Male,Valid,No,Straight Road
Uttar Pradesh,Mangalore,2018,March,Friday,1:07,Serious,5,Bus,2,2,Rainy,Village Road,Damaged,Dark,Signs,48,58,Male,Valid,No,Bridge
Bihar,Pune,2019,August,Friday,22:41,Minor,2,Truck,9,0,Rainy,State Highway,Under Construction,Dark,Signs,73,30,Male,,No,Intersection
Delhi,Pune,2019,August,Saturday,8:29,Fatal,5,Truck,6,0,Hazy,Urban Road,Dry,Dark,Police Checkpost,112,71,Female,,No,Intersection
Kerala,Lucknow,2018,November,Thursday,22:36,Serious,1,Pedestrian,0,2,Stormy,National Highway,Under Construction,Dark,Police Checkpost,68,52,Female,Valid,No,Bridge
Manipur,Varanasi,2019,November,Tuesday,0:14,Serious,5,Two-Wheeler,6,0,Clear,Village Road,Under Construction,Dusk,Signs,106,68,Male,Valid,Yes,Straight Road
Puducherry,Nagpur,2018,January,Friday,1:15,Fatal,4,Pedestrian,10,0,Rainy,National Highway,Damaged,Dark,Police Checkpost,65,55,Female,Valid,No,Curve
Nagaland,Unknown,2022,October,Saturday,22:30,Minor,5,Car,8,2,Rainy,Village Road,Under Construction,Daylight,Signs,52,29,Male,,Yes,Intersection
Uttarakhand,Unknown,2019,May,Sunday,5:00,Serious,4,Truck,5,2,Rainy,Urban Road,Under Construction,Dusk,Signs,119,42,Female,,Yes,Straight Road
Uttar Pradesh,Varanasi,2020,March,Monday,13:44,Serious,2,Truck,4,3,Rainy,Village Road,Dry,Dark,Signals,97,53,Female,Valid,No,Bridge
Delhi,Unknown,2023,November,Friday,3:00,Fatal,4,Truck,8,2,Clear,State Highway,Dry,Dusk,Signs,54,69,Male,Valid,No,Intersection
Delhi,Unknown,2020,January,Sunday,9:47,Minor,5,Car,2,2,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,105,18,Male,Expired,No,Curve
Meghalaya,Unknown,2023,December,Friday,23:23,Minor,5,Car,7,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,87,42,Male,Valid,No,Straight Road
Maharashtra,Coimbatore,2021,March,Saturday,16:28,Minor,3,Car,7,3,Rainy,Village Road,Dry,Dark,Police Checkpost,71,53,Female,Valid,No,Straight Road
Uttar Pradesh,Unknown,2020,March,Tuesday,8:49,Serious,4,Car,0,0,Clear,Urban Road,Wet,Daylight,Signs,118,49,Male,Valid,No,Straight Road
Tamil Nadu,Unknown,2020,February,Wednesday,16:53,Serious,4,Car,3,3,Rainy,Village Road,Damaged,Daylight,Signs,76,52,Female,,No,Intersection
Rajasthan,Jodhpur,2021,November,Sunday,11:30,Fatal,5,Truck,8,0,Clear,Village Road,Dry,Dusk,Signs,33,63,Male,,No,Intersection
Mizoram,Vadodara,2019,July,Saturday,21:18,Minor,2,Car,1,2,Rainy,State Highway,Dry,Dark,Signs,100,60,Female,,Yes,Curve
Tripura,Bangalore,2023,October,Friday,12:49,Serious,1,Car,10,3,Rainy,State Highway,Wet,Dawn,,41,24,Female,Valid,No,Straight Road
Uttarakhand,Durgapur,2018,August,Thursday,4:35,Serious,2,Truck,3,0,Hazy,National Highway,Under Construction,Daylight,Signals,118,18,Male,Expired,No,Curve
Gujarat,Surat,2022,October,Wednesday,11:47,Serious,5,Two-Wheeler,1,2,Rainy,State Highway,Damaged,Daylight,Signs,73,43,Female,Expired,No,Bridge
Sikkim,Kolkata,2020,October,Friday,0:17,Minor,4,Two-Wheeler,5,2,Hazy,National Highway,Under Construction,Dusk,Police Checkpost,55,45,Male,Expired,Yes,Intersection
Uttar Pradesh,Unknown,2023,October,Friday,3:06,Minor,2,Bus,1,2,Rainy,State Highway,Damaged,Dusk,Signals,58,40,Male,,Yes,Bridge
Delhi,Tirupati,2021,March,Sunday,0:32,Serious,5,Cycle,6,2,Rainy,State Highway,Under Construction,Dark,Signals,105,57,Male,,No,Intersection
Uttar Pradesh,Unknown,2020,February,Wednesday,12:49,Serious,4,Truck,1,3,Rainy,Urban Road,Dry,Daylight,Police Checkpost,115,70,Female,,No,Intersection
Meghalaya,Unknown,2020,August,Monday,12:01,Serious,2,Bus,7,1,Rainy,Urban Road,Under Construction,Daylight,Signs,93,53,Female,Expired,Yes,Straight Road
Meghalaya,Unknown,2019,October,Saturday,11:56,Minor,2,Two-Wheeler,0,2,Rainy,Village Road,Dry,Daylight,Signs,104,53,Female,Valid,Yes,Bridge
Chandigarh,New Delhi,2019,October,Tuesday,0:51,Serious,4,Bus,10,2,Clear,Village Road,Under Construction,Dawn,Signs,106,60,Female,Valid,Yes,Straight Road
Uttarakhand,Unknown,2020,November,Sunday,14:28,Serious,5,Truck,10,2,Foggy,National Highway,Under Construction,Dawn,Police Checkpost,66,49,Male,Expired,Yes,Straight Road
Jammu and Kashmir,Jodhpur,2022,October,Thursday,8:07,Minor,5,Truck,8,3,Rainy,Village Road,Wet,Dawn,,54,54,Male,Valid,No,Intersection
Delhi,Unknown,2020,April,Friday,13:34,Serious,1,Car,3,2,Clear,State Highway,Dry,Daylight,Police Checkpost,44,21,Female,Expired,No,Intersection
Sikkim,Unknown,2023,December,Sunday,5:56,Fatal,2,Car,5,5,Hazy,State Highway,Dry,Dark,Signs,87,50,Male,,No,Straight Road
Jharkhand,Unknown,2023,November,Sunday,15:02,Fatal,1,Truck,3,2,Hazy,State Highway,Under Construction,Dark,Police Checkpost,102,62,Male,,No,Curve
Uttar Pradesh,Siliguri,2020,October,Tuesday,14:59,Serious,5,Auto-Rickshaw,7,2,Stormy,Urban Road,Wet,Dawn,Police Checkpost,110,26,Female,,Yes,Curve
Mizoram,Vadodara,2019,September,Friday,10:59,Serious,5,Truck,0,0,Rainy,State Highway,Damaged,Dark,Police Checkpost,37,22,Female,Expired,No,Intersection
Rajasthan,Unknown,2021,March,Monday,11:19,Minor,4,Truck,8,2,Rainy,Village Road,Dry,Dusk,Signs,46,35,Female,Valid,Yes,Intersection
Chhattisgarh,Jodhpur,2020,January,Tuesday,15:42,Fatal,4,Two-Wheeler,6,0,Stormy,National Highway,Wet,Dawn,Police Checkpost,82,37,Female,Expired,Yes,Curve
Maharashtra,Unknown,2019,March,Thursday,21:57,Minor,4,Car,3,2,Hazy,Village Road,Under Construction,Daylight,Signals,47,64,Male,Valid,Yes,Curve
Gujarat,Dwarka,2020,October,Saturday,8:30,Fatal,2,Car,1,0,Clear,Village Road,Dry,Dusk,Police Checkpost,99,20,Female,,No,Intersection
